name,url,phone,street_address,city,state,postal_code,country,latitude,longitude,currency,low_price,high_price,amenities,image_url,nearestShuttleComment,nearestTransitComment
Connection on Broadway,https://www.apartments.com/connection-on-broadway-seattle-wa/4912xmk/,,118 Broadway E,Seattle,WA,98102,US,,,USD,,,,,Takes 20.5 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Arrive First Hill,https://www.apartments.com/arrive-first-hill-seattle-wa/x8ckjym/,,600 7th Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 21.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Gridline,https://www.apartments.com/gridline-seattle-wa/484c6gl/,8445861223,1421 Harvard Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 22.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Coppins Well,https://www.apartments.com/coppins-well-seattle-wa/fhknn4v/,2062105062,1000 Minor Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 22.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Sentral First Hill,https://www.apartments.com/sentral-first-hill-seattle-wa/rwd8ec0/,,1001 Minor Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 22.4 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Museum House,https://www.apartments.com/museum-house-seattle-wa/hb5ceh0/,,707 Terry Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 22.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
The Victor,https://www.apartments.com/the-victor-seattle-wa/8mx2w62/,2067853042,1100 Boylston Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 23.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
50th &amp;amp; Roosevelt,https://www.apartments.com/50th-roosevelt-seattle-wa/nrnk99p/,2066392646,4750 Roosevelt Way NE,Seattle,WA,98105,US,,,USD,,,,,Takes 23.3 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Bella Vista Apartments,https://www.apartments.com/bella-vista-apartments-seattle-wa/qf6d3ex/,2063397203,600 Bellevue Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 23.4 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Belroy,https://www.apartments.com/belroy-seattle-wa/teql659/,8447034427,703 Bellevue Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 23.6 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
The Danforth,https://www.apartments.com/the-danforth-seattle-wa/v75401g/,,1425 Spring St,Seattle,WA,98122,US,,,USD,,,,,Takes 24 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
The M Seattle,https://www.apartments.com/the-m-seattle-seattle-wa/d6m705l/,4256594739,4700 Brooklyn Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 24.1 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Nolan,https://www.apartments.com/nolan-seattle-wa/pw4kxhs/,2069059154,4717 Brooklyn Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 24.8 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Metro 5000 Apartments | Furnished Student Housing in Seattle U-District Near University of Washin...,https://www.apartments.com/metro-5000-apartments-furnished-student-housing-in-seattle-u-district-near-university-of-washin-seattle-wa/2m5sqc9/,2063504324,5000 12th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 24.9 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Residences at Broadway Market,https://www.apartments.com/residences-at-broadway-market-seattle-wa/c8qs54d/,4255880240,400 Harvard Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 25 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Canterbury Court,https://www.apartments.com/canterbury-court-seattle-wa/2gctd1c/,2064660845,4225 Brooklyn Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 25.1 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
The Rise on Madison - Affordable Housing,https://www.apartments.com/the-rise-on-madison-affordable-housing-seattle-wa/j91z2d7/,,1400 Madison St,Seattle,WA,98104,US,,,USD,,,,,Takes 25.2 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Augusta Apartments,https://www.apartments.com/augusta-apartments-seattle-wa/lbgnpjg/,,4041 Roosevelt Way NE,Seattle,WA,98105,US,,,USD,,,,,Takes 25.3 mins to the nearest Microsoft shuttle stop at N 34th St & Wallingford Ave N,
A&amp;amp;T Investments,https://www.apartments.com/at-investments-seattle-wa/t9ddzqc/,,4225 7th Ave,Seattle,WA,98105,US,,,USD,,,,,Takes 25.4 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Saxton,https://www.apartments.com/saxton-seattle-wa/zsf985y/,2065905145,520 Terry Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 25.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Infinity Capitol Hill Apartments,https://www.apartments.com/infinity-capitol-hill-apartments-seattle-wa/yszd59t/,,1414 10th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 25.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Harrison South,https://www.apartments.com/harrison-south-seattle-wa/eewv3lm/,2066932879,304 10th Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 25.8 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Griffis Seattle Waterfront,https://www.apartments.com/griffis-seattle-waterfront-seattle-wa/ntbsfrm/,,888 Western Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 25.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Yugo Seattle Lothlorien,https://www.apartments.com/yugo-seattle-lothlorien-seattle-wa/s4xzxm5/,,4730 University Way NE,Seattle,WA,98105,US,,,USD,,,,,Takes 26 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
700 Broadway Apartments,https://www.apartments.com/700-broadway-apartments-seattle-wa/09hhwk1/,,700 Broadway Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 26 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Illumina Apartment Homes,https://www.apartments.com/illumina-apartment-homes-seattle-wa/wp5jslj/,,219 E Garfield St,Seattle,WA,98102,US,,,USD,,,,,Takes 26.2 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
The Accolade,https://www.apartments.com/the-accolade-seattle-wa/7lspshx/,,4126 12th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 26.5 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Lakeview Apartments,https://www.apartments.com/lakeview-apartments-seattle-wa/jy0e037/,4258005304,1551-1559 Lakeview Blvd E,Seattle,WA,98102,US,,,USD,,,,,Takes 26.9 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Parsonage,https://www.apartments.com/parsonage-seattle-wa/11zs076/,,4138 Brooklyn Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 27.1 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
VIVA,https://www.apartments.com/viva-seattle-wa/h47dk02/,,1111 E Union St,Seattle,WA,98122,US,,,USD,,,,,Takes 27.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Theory U District,https://www.apartments.com/theory-u-district-seattle-wa/gd2xwbw/,,4759 15th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 28.1 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Monticello Apartments,https://www.apartments.com/monticello-apartments-seattle-wa/2bt4838/,,415 Boren Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 28.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
East Howe Steps,https://www.apartments.com/east-howe-steps-seattle-wa/dgnwmfj/,,1823 Eastlake Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 28.2 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
The Den Apartments,https://www.apartments.com/the-den-apartments-seattle-wa/wtp3tyh/,8663309938,5043 Brooklyn Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 28.5 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
608 W Emerson St,https://www.apartments.com/608-w-emerson-st-seattle-wa/cfpr9fe/,,608 W Emerson St,Seattle,WA,98119,US,,,USD,,,,,Takes 29 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
The Aire Apartments,https://www.apartments.com/the-aire-apartments-seattle-wa/gwwwyrz/,,2572 Gilman Dr W,Seattle,WA,98119,US,,,USD,,,,,Takes 29 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
Zig,https://www.apartments.com/zig-seattle-wa/tglsxzc/,4258738299,550 Broadway,Seattle,WA,98122,US,,,USD,,,,,Takes 29.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
ION Queen Anne,https://www.apartments.com/ion-queen-anne-seattle-wa/4y275sk/,,2222 15th Ave W,Seattle,WA,98119,US,,,USD,,,,,Takes 29.8 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
Metropolitan Park,https://www.apartments.com/metropolitan-park-seattle-wa/xxyj11n/,4254032599,601 S Washington St,Seattle,WA,98104,US,,,USD,,,,,Takes 30 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Tanager,https://www.apartments.com/tanager-seattle-wa/v32g4mf/,2062022718,1314 E Union St,Seattle,WA,98122,US,,,USD,,,,,Takes 30.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
TAS Investments,https://www.apartments.com/tas-investments-seattle-wa/vj0epve/,2064832129,4542 19th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 30.5 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Youngstown Flats,https://www.apartments.com/youngstown-flats-seattle-wa/7s2qyhy/,,4040 26th Ave SW,Seattle,WA,98106,US,,,USD,,,,,Takes 31.1 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Glendale Apartments,https://www.apartments.com/glendale-apartments-seattle-wa/hh0hnz3/,2062587126,5246 Brooklyn Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 31.1 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Harbor Flats,https://www.apartments.com/harbor-flats-seattle-wa/3qfrqpf/,8334329527,3417 Harbor Ave SW,Seattle,WA,98126,US,,,USD,,,,,Takes 31.1 mins to the nearest Microsoft shuttle stop at California Ave SW,
Icon Apartments,https://www.apartments.com/icon-apartments-seattle-wa/lkb3bvd/,2062035189,400 S Jackson St,Seattle,WA,98104,US,,,USD,,,,,Takes 32.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Yesler Towers,https://www.apartments.com/yesler-towers-seattle-wa/52ghdsm/,,809 S Washington St,Seattle,WA,98104,US,,,USD,,,,,Takes 32.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Clara Apartments,https://www.apartments.com/clara-apartments-seattle-wa/986xcx6/,,4730 19th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 32.7 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Strata on California,https://www.apartments.com/strata-on-california-seattle-wa/z3t9hpw/,2066780323,6312 California Ave SW,Seattle,WA,98136,US,,,USD,,,,,Takes 33.2 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Swell,https://www.apartments.com/swell-seattle-wa/y7xxfer/,,821 S Washington St,Seattle,WA,98104,US,,,USD,,,,,Takes 33.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Vantage Park,https://www.apartments.com/vantage-park-seattle-wa/7xrt90z/,2063396127,1011 E Terrace St,Seattle,WA,98122,US,,,USD,,,Fitness Center; Rooftop Deck,,Takes 33.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Hillside 411,https://www.apartments.com/hillside-411-seattle-wa/jlkert5/,2065903985,411 11th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 33.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Ivy Ridge Apartments,https://www.apartments.com/ivy-ridge-apartments-seattle-wa/wcyj04k/,,4730 21st Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 34.5 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Koi,https://www.apartments.com/koi-seattle-wa/4pl0d7k/,2064511310,1139 NW Market St,Seattle,WA,98107,US,,,USD,,,,,Takes 35 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Clearwater Apartments - Star Apartments,https://www.apartments.com/clearwater-apartments-star-apartments-seattle-wa/m4ypnhl/,4256551951,167 11th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 35.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Capitol Crest,https://www.apartments.com/capitol-crest-seattle-wa/78yr6xx/,2064108800,1139 17th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 35.4 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Decibel on 12th,https://www.apartments.com/decibel-on-12th-seattle-wa/3m66xye/,,301 12th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 35.9 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Lawrence Lofts,https://www.apartments.com/lawrence-lofts-seattle-wa/15hjzq6/,,1818 E Madison St,Seattle,WA,98122,US,,,USD,,,,,Takes 35.9 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Milwaukee Apartments,https://www.apartments.com/milwaukee-apartments-seattle-wa/6p5f6ps/,2063098814,660-680 S King St,Seattle,WA,98104,US,,,USD,,,,,Takes 36.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Hong Kong Apartments,https://www.apartments.com/hong-kong-apartments-seattle-wa/6vx0s3s/,3603394545,507-511 Maynard Ave S,Seattle,WA,98104,US,,,USD,,,,,Takes 36.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Nordic Tower,https://www.apartments.com/nordic-tower-seattle-wa/2lc2bm8/,,1446 NW 53rd St,Seattle,WA,98107,US,,,USD,,,,,Takes 36.5 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Uncle Bob&amp;#39;s Place,https://www.apartments.com/uncle-bobs-place-seattle-wa/ngk3k9q/,8668582302,417 8th Ave S,Seattle,WA,98104,US,,,USD,,,Pets Allowed; Balcony,,Takes 37.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Shelton Eastlake,https://www.apartments.com/shelton-eastlake-seattle-wa/dxksrhl/,2063098876,2359 Franklin Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 37.5 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
High Point,https://www.apartments.com/high-point-seattle-wa/3731qxg/,4252768153,6040 35th Ave SW,Seattle,WA,98126,US,,,USD,,,,,Takes 37.6 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Anthem on 12th,https://www.apartments.com/anthem-on-12th-seattle-wa/cm38mee/,,103 12th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 38 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Liza Eastlake,https://www.apartments.com/liza-eastlake-seattle-wa/1g7lk85/,,2517 Eastlake Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 38.2 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Thai Binh Apartments,https://www.apartments.com/thai-binh-apartments-seattle-wa/cp71zlf/,4254037834,913 S Jackson St,Seattle,WA,98104,US,,,USD,,,,,Takes 38.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Mason &amp;amp; Main,https://www.apartments.com/mason-main-seattle-wa/hwhflg0/,,209 12th Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 38.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Crane Interbay Apartments,https://www.apartments.com/crane-interbay-apartments-seattle-wa/vxvf7qd/,2062586984,3200 16th Ave W,Seattle,WA,98119,US,,,USD,,,,,Takes 38.7 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
Corner 63,https://www.apartments.com/corner-63-seattle-wa/ft3kt7r/,,6300 9th Ave NE,Seattle,WA,98115,US,,,USD,,,,,Takes 38.9 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Tapestry,https://www.apartments.com/tapestry-seattle-wa/mz7193l/,,104 12th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 39.4 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Madlyn Apartments,https://www.apartments.com/madlyn-apartments-seattle-wa/wwk6wsh/,2062028391,2413 Boylston Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 39.4 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Eleanor,https://www.apartments.com/eleanor-seattle-wa/8b3mtg2/,2068886567,800 NE 67th St,Seattle,WA,98115,US,,,USD,,,,,Takes 39.5 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
BEAM,https://www.apartments.com/beam-seattle-wa/bwdhwwb/,2062029899,1029 S Jackson St,Seattle,WA,98104,US,,,USD,,,Pets Allowed; Fitness Center; In Unit Washer &amp; Dryer; Balcony,,Takes 39.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Slate Apartments,https://www.apartments.com/slate-apartments-seattle-wa/g8rr8xz/,2062027524,3040 17th Ave W,Seattle,WA,98119,US,,,USD,,,,,Takes 40.7 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
13th &amp;amp; Fir APARTMENTS,https://www.apartments.com/13th-fir-apartments-seattle-wa/nz6r5hm/,2062782613,115 13th Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 41 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Waymark,https://www.apartments.com/waymark-seattle-wa/hsfjf32/,,1501 NW 56th St,Seattle,WA,98107,US,,,USD,,,,,Takes 41.1 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Cedar Crossing,https://www.apartments.com/cedar-crossing-seattle-wa/frr1cnr/,,6600 Roosevelt Way NE,Seattle,WA,98115,US,,,USD,,,,,Takes 42 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Vitality on 17th,https://www.apartments.com/vitality-on-17th-seattle-wa/tbbrrdb/,,5512 17th Ave NW,Seattle,WA,98107,US,,,USD,,,,,Takes 42.6 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Roosevelt Station,https://www.apartments.com/roosevelt-station-seattle-wa/kxfyl3b/,,6810 Roosevelt Way NE,Seattle,WA,98115,US,,,USD,,,,,Takes 43.3 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
East Union,https://www.apartments.com/east-union-seattle-wa/8sbxhc0/,,Union St @ 23rd ave,Seattle,WA,98122,US,,,USD,,,,,Takes 44.2 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Victorian Row Apartments,https://www.apartments.com/victorian-row-apartments-seattle-wa/z7wl31w/,8668668025,1234 S King St,Seattle,WA,98144,US,,,USD,,,,,Takes 45 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Midtown Square,https://www.apartments.com/midtown-square-seattle-wa/jkm2814/,,2301 E Union St,Seattle,WA,98122,US,,,USD,,,,,Takes 45.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Commons at Ballard,https://www.apartments.com/commons-at-ballard-seattle-wa/d4cffyh/,8668465477,5621 22nd Ave NW,Seattle,WA,98107,US,,,USD,,,,,Takes 46 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Trailside,https://www.apartments.com/trailside-seattle-wa/n48pv6m/,,4801 24th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 47.3 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
The Ballard Independent,https://www.apartments.com/the-ballard-independent-seattle-wa/603g4ws/,3608034050,2245 NW 56th St,Seattle,WA,98107,US,,,USD,,,Pets Allowed; Fitness Center; In Unit Washer &amp; Dryer,,Takes 47.4 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Hilite,https://www.apartments.com/hilite-seattle-wa/r9l4e63/,,622 Rainier Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 47.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Nordheim Court UW Student Apartments,https://www.apartments.com/nordheim-court-uw-student-apartments-seattle-wa/s0e6b75/,2062103227,5000 25th Ave NE,Seattle,WA,98105,US,,,USD,,,Fitness Center,,Takes 48 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Pratt Park,https://www.apartments.com/pratt-park-seattle-wa/dflxsxk/,,1800 S Jackson St,Seattle,WA,98144,US,,,USD,,,,,Takes 48 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Broadstone Strata,https://www.apartments.com/broadstone-strata-seattle-wa/h9wemm3/,,4906 25th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 48.1 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
St Luke&amp;#39;s,https://www.apartments.com/st-lukes-seattle-wa/k29ydnc/,8449760155,2035 NW 58th St,Seattle,WA,98107,US,,,USD,,,,,Takes 48.4 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Ballard Yards,https://www.apartments.com/ballard-yards-seattle-wa/r74mmy0/,,2417 NW Market St,Seattle,WA,98107,US,,,USD,,,,,Takes 48.8 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Ballard on the Park,https://www.apartments.com/ballard-on-the-park-seattle-wa/z754zkw/,,2233 NW 58th St,Seattle,WA,98107,US,,,USD,,,,,Takes 49.2 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
AMLI Mark24,https://www.apartments.com/amli-mark24-seattle-wa/twk16f9/,,2428 NW Market St,Seattle,WA,98107,US,,,USD,,,,,Takes 49.3 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Soren Apartments,https://www.apartments.com/soren-apartments-seattle-wa/4gwlh0k/,2063502876,5711 24th Ave NW,Seattle,WA,98107,US,,,USD,,,,,Takes 50.4 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Activate Your Lifestyle At Spur Apartments!,https://www.apartments.com/activate-your-lifestyle-at-spur-apartments-seattle-wa/z3kr8gz/,2065935402,4600 Union Bay Pl NE,Seattle,WA,98105,US,,,USD,,,,,Takes 50.7 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
900 Rainier,https://www.apartments.com/900-rainier-seattle-wa/gfz6d0x/,,900 Rainier Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 53.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Jackson Apartments,https://www.apartments.com/jackson-apartments-seattle-wa/vblnwkf/,,2401 S Jackson St,Seattle,WA,98144,US,,,USD,,,,,Takes 55.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Hill Crest Apartment Homes,https://www.apartments.com/hill-crest-apartment-homes-seattle-wa/dcw5r9j/,,7524 35th Ave SW,Seattle,WA,98126,US,,,USD,,,,,Takes 56.2 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
The Arbory,https://www.apartments.com/the-arbory-seattle-wa/7716vpx/,2065584405,2925 E Madison St,Seattle,WA,98112,US,,,USD,,,,,Takes 57.5 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Beacon View,https://www.apartments.com/beacon-view-seattle-wa/nffsfmn/,,1701 12th Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 58 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Arrive Magnolia,https://www.apartments.com/arrive-magnolia-seattle-wa/pmzb5pv/,,3520 27th Pl W,Seattle,WA,98199,US,,,USD,,,,,Takes 58.2 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
Lock Vista,https://www.apartments.com/lock-vista-seattle-wa/9s9vee4/,,3025 NW Market St,Seattle,WA,98107,US,,,USD,,,,,Takes 58.5 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
301 Apartments in the heart of Beacon Hill,https://www.apartments.com/301-apartments-in-the-heart-of-beacon-hill-seattle-wa/n8hw68n/,2062228772,301 26th Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 59.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
EdgePoint,https://www.apartments.com/edgepoint-seattle-wa/h7wj141/,,320 N 85th St,Seattle,WA,98103,US,,,USD,,,,,Takes 60.6 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
The Morrow,https://www.apartments.com/the-morrow-seattle-wa/g1qn3sz/,,8612 Palatine Ave N,Seattle,WA,98103,US,,,USD,,,,,Takes 61.4 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
The Sedges,https://www.apartments.com/the-sedges-seattle-wa/20p15h9/,2062086729,8623 N Palatine Ave N,Seattle,WA,98103,US,,,USD,,,,,Takes 62.6 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
Guinevere Apartment Homes,https://www.apartments.com/guinevere-apartment-homes-seattle-wa/9zyy3f5/,,522 N 85th St,Seattle,WA,98103,US,,,USD,,,,,Takes 62.7 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
The Hemlock,https://www.apartments.com/the-hemlock-seattle-wa/v1lxw4g/,4259792421,8704 Greenwood Ave N,Seattle,WA,98103,US,,,USD,,,Pets Allowed; Fitness Center; In Unit Washer &amp; Dryer,,Takes 64 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
State Street,https://www.apartments.com/state-street-seattle-wa/822el43/,,1700 21st Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 64.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Melody Jabooda Apartments,https://www.apartments.com/melody-jabooda-apartments-seattle-wa/gj0171w/,,2101 S Grand St,Seattle,WA,98144,US,,,USD,,,,,Takes 66.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Grand Street Commons,https://www.apartments.com/grand-street-commons-seattle-wa/vskshhg/,,1765 22nd Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 67.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Tahoma Valley Apartments,https://www.apartments.com/tahoma-valley-apartments-seattle-wa/tn2wkq9/,,2201 S Grand St,Seattle,WA,98144,US,,,USD,,,,,Takes 67.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Sedona Apartments,https://www.apartments.com/sedona-apartments-seattle-wa/ch0j5kf/,,8500 20th Ave NE,Seattle,WA,98115,US,,,USD,,,,,Takes 68.6 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Tavin,https://www.apartments.com/tavin-seattle-wa/ejwmbjp/,,8511 15th Ave NW,Seattle,WA,98117,US,,,USD,,,,,Takes 70.4 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Westview Apartment Homes,https://www.apartments.com/westview-apartment-homes-seattle-wa/fdtghfv/,4259709482,2525 14th Ave S,Seattle,WA,98144,US,,,USD,,,,,Takes 70.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
